file,dataset_name,epsilon,attack_method,adversarial_model_name,method,state,mae,rmse,,,
log2025-06-13 05:41:18.362816.txt,CERNET,0.05,FGSM,,AT,擾動,1794.769214,2296.808162,,1794.77,2296.81
log2025-06-13 05:41:18.362816.txt,CERNET,0.05,FGSM,,AT,未擾動,1429.546851,1915.186085,,1429.55,1915.19
log2025-06-13 05:41:18.362816.txt,CERNET,0.05,FGSM,,Normal,擾動,1784.518945,2232.103863,,1784.52,2232.1
log2025-06-13 05:41:18.362816.txt,CERNET,0.05,FGSM,,Normal,未擾動,1290.27467,1738.285309,,1290.27,1738.29
log2025-06-13 05:48:17.872173.txt,CERNET,0.05,FGSM,,Mixup,擾動,1741.529333,2279.161077,,1741.53,2279.16
log2025-06-13 05:48:17.872173.txt,CERNET,0.05,FGSM,,Mixup,未擾動,1368.651208,1878.873463,,1368.65,1878.87
log2025-06-13 05:48:17.872173.txt,CERNET,0.05,FGSM,,Normal,擾動,1855.131982,2289.464514,,1855.13,2289.46
log2025-06-13 05:48:17.872173.txt,CERNET,0.05,FGSM,,Normal,未擾動,1331.775928,1774.621029,,1331.78,1774.62
log2025-06-13 05:55:19.419372.txt,CERNET,0.05,Normal,,AT,擾動,1524.564075,2081.717983,,1524.56,2081.72
log2025-06-13 05:55:19.419372.txt,CERNET,0.05,Normal,,AT,未擾動,1493.155127,1977.815534,,1493.16,1977.82
log2025-06-13 05:55:19.419372.txt,CERNET,0.05,Normal,,Normal,擾動,1623.660425,2091.075444,,1623.66,2091.08
log2025-06-13 05:55:19.419372.txt,CERNET,0.05,Normal,,Normal,未擾動,1301.976599,1759.526455,,1301.98,1759.53
log2025-06-13 06:01:36.512691.txt,CERNET,0.05,Normal,,Mixup,擾動,1421.294043,2070.80261,,1421.29,2070.8
log2025-06-13 06:01:36.512691.txt,CERNET,0.05,Normal,,Mixup,未擾動,1376.278149,1890.885896,,1376.28,1890.89
log2025-06-13 06:01:36.512691.txt,CERNET,0.05,Normal,,Normal,擾動,1559.58363,2030.064851,,1559.58,2030.06
log2025-06-13 06:01:36.512691.txt,CERNET,0.05,Normal,,Normal,未擾動,1344.555347,1789.131868,,1344.56,1789.13
log2025-06-13 06:08:04.526350.txt,CERNET,0.12,FGSM,,AT,擾動,2280.299487,2936.244907,,2280.3,2936.24
log2025-06-13 06:08:04.526350.txt,CERNET,0.12,FGSM,,Mixup,未擾動,1592.818115,2159.18411,,1592.82,2159.18
log2025-06-13 06:08:04.526350.txt,CERNET,0.12,FGSM,,Normal,擾動,2644.784106,3327.127077,,2644.78,3327.13
log2025-06-13 06:08:04.526350.txt,CERNET,0.12,FGSM,,Normal,未擾動,1329.764172,1780.784803,,1329.76,1780.78
log2025-06-13 06:15:55.782823.txt,CERNET,0.12,FGSM,,Mixup,擾動,2290.536401,2897.569122,,2290.54,2897.57
log2025-06-13 06:15:55.782823.txt,CERNET,0.12,FGSM,,Mixup,未擾動,1400.30321,1941.661554,,1400.3,1941.66
log2025-06-13 06:15:55.782823.txt,CERNET,0.12,FGSM,,Normal,擾動,2759.518579,3401.838066,,2759.52,3401.84
log2025-06-13 06:15:55.782823.txt,CERNET,0.12,FGSM,,Normal,未擾動,1347.691455,1796.396733,,1347.69,1796.4
log2025-06-13 06:22:39.335652.txt,CERNET,0.12,Normal,,AT,擾動,1899.94541,2589.419519,,1899.95,2589.42
log2025-06-13 06:22:39.335652.txt,CERNET,0.12,Normal,,AT,未擾動,1501.027612,2040.931596,,1501.03,2040.93
log2025-06-13 06:22:39.335652.txt,CERNET,0.12,Normal,,Normal,擾動,2941.276929,3464.881589,,2941.28,3464.88
log2025-06-13 06:22:39.335652.txt,CERNET,0.12,Normal,,Normal,未擾動,1357.166223,1829.302883,,1357.17,1829.3
log2025-06-13 06:33:56.364624.txt,CERNET,0.12,Normal,,Mixup,擾動,2223.655725,2907.164308,,2223.66,2907.16
log2025-06-13 06:33:56.364624.txt,CERNET,0.12,Normal,,Mixup,未擾動,1466.589404,2018.139761,,1466.59,2018.14
log2025-06-13 06:33:56.364624.txt,CERNET,0.12,Normal,,Normal,擾動,2763.836621,3291.899308,,2763.84,3291.9
log2025-06-13 06:33:56.364624.txt,CERNET,0.12,Normal,,Normal,未擾動,1324.210889,1768.751781,,1324.21,1768.75
