y_true,y_pred
221.24113,179.83499
226.49129,206.11089
210.12883,214.3128
184.82791,189.3712
98.33858,124.01047
63.091595,86.717636
55.099182,63.406364
107.09472,43.421688
13.010744,59.4769
7.921282,7.7628655
5.562633,6.550843
2.839975,4.544596
5.784493,6.2992196
4.539411,3.8464785
4.122996,3.6025207
3.724765,2.7849705
5.778356,3.3631148
15.600524,7.842932
35.98498,52.283043
102.96361,63.745575
151.21783,153.88594
175.8846,165.09087
169.88307,179.75554
142.92021,170.14995
180.78163,152.07384
198.68158,176.58473
177.82762,181.12602
146.88507,149.66704
63.432747,103.95027
47.48245,51.611866
28.385574,46.786358
33.68771,28.684729
17.206142,10.673593
12.08317,4.387834
12.366958,4.463559
13.239306,3.7657745
4.740321,3.4976695
3.059459,2.5244303
3.350037,2.9423556
3.348468,3.4378355
2.894883,3.289445
8.436723,4.6212373
7.471279,13.808594
9.580215,8.66861
16.446095,8.510859
13.704961,22.530514
11.922065,8.853491
11.238963,9.404632
15.004083,9.37233
11.4959,15.696496
10.050592,10.311249
7.49982,6.5955577
10.290734,5.8643765
13.028013,7.877518
13.315962,16.272305
5.994844,12.24758
7.798623,6.2065024
3.191397,6.8845773
3.225355,5.0004563
3.671777,5.5793405
12.735343,6.560146
11.412316,29.230316
10.74173,13.732
8.298536,8.266528
9.198862,6.7776113
15.154164,5.534576
12.674455,23.508257
20.031462,8.665197
25.078976,33.178154
32.532757,42.277977
22.570335,43.778812
27.21615,12.911519
21.497572,20.625933
29.330889,9.523066
20.339466,24.664545
18.342196,8.934874
12.03273,7.720079
13.447794,4.333183
6.449114,4.7800183
4.82505,4.6884437
3.186586,4.867548
5.404934,5.3304534
4.670192,4.985306
2.605529,6.042751
3.654539,4.72148
1.636531,5.43928
1.76926,4.5902877
0.714696,4.853045
0.916535,4.8436255
4.606194,5.4145336
5.807284,6.8976893
23.251587,8.089854
17.91645,65.345276
21.713762,24.032263
16.25557,25.645346
11.503904,10.969473
16.167912,8.732945
12.910089,14.067317
11.889833,7.7359548
11.205659,7.404297
7.5969,8.779475
16.40097,5.912303
14.079923,29.477484
22.579653,12.261299
20.549091,45.65389
12.445559,23.397554
9.81845,6.3498607
7.008069,5.9068217
6.241188,4.5659266
1.343348,4.985285
1.824557,3.954841
2.7019,5.105009
1.060987,6.2465487
0.982282,4.813478
0.7118,6.444027
4.204449,6.2935395
7.211273,10.093246
6.895871,17.476084
4.228671,7.2413077
3.456844,6.1050806
4.122576,4.823232
4.631527,5.5601473
4.796996,6.5906463
3.162152,7.3109956
2.85144,6.8379264
1.91544,6.7391167
3.814097,7.2047734
4.95852,8.20085
5.322897,9.841227
5.30226,9.007698
4.997259,8.458563
3.29278,7.39673
2.987054,6.2732296
1.460822,6.0909944
1.566121,6.210259
1.526226,6.6699605
1.681781,6.983089
9.475216,6.77749
55.283585,31.873964
163.56616,142.2905
196.97754,220.4598
219.18726,213.95512
188.51468,210.85939
173.46086,197.39265
205.60094,192.23756
202.43489,204.6157
219.94327,192.81621
200.3104,187.91621
130.8842,140.17604
115.21863,108.139084
107.57605,98.32904
93.3799,75.726166
65.32629,39.017246
56.700787,15.012765
40.546333,8.812587
3.453611,7.107442
5.998936,7.4006386
2.392411,5.5311255
2.666666,4.726092
2.386495,3.5256777
1.966235,3.3787165
11.995869,5.9160824
67.63628,34.73393
160.18723,140.16139
208.95546,201.24072
225.95413,209.11961
213.77806,195.82918
220.45467,201.61842
227.85486,213.78429
236.82198,215.67624
237.46724,208.36475
220.70613,194.6313
167.35382,147.90921
146.533,131.51744
