file,dataset_name,epsilon,attack_method,,method,state,mae,rmse
log2025-06-18 07:36:38.647039.txt,Abilene,0.15,Normal,,Normal,未擾動,314.1642547607422,513.3473714473689
log2025-06-18 07:44:42.952952.txt,Abilene,0.2,FGSM,,AT,擾動,368.3829681396484,556.1699265342161
log2025-06-18 07:44:42.952952.txt,Abilene,0.2,FGSM,,AT,未擾動,334.08852233886716,538.4244065825861
log2025-06-18 07:44:42.952952.txt,Abilene,0.2,FGSM,,Normal,擾動,378.7655731201172,542.6358185812945
log2025-06-18 07:44:42.952952.txt,Abilene,0.2,FGSM,,Normal,未擾動,309.8644073486328,506.06315936569445
log2025-06-18 07:52:57.026226.txt,Abilene,0.2,FGSM,,Mixup,擾動,359.0655853271484,535.8081447142349
log2025-06-18 07:52:57.026226.txt,Abilene,0.2,FGSM,,Mixup,未擾動,312.54648742675784,511.09304951268166
log2025-06-18 07:52:57.026226.txt,Abilene,0.2,FGSM,,Normal,擾動,391.2434814453125,559.2412228182872
log2025-06-18 07:52:57.026226.txt,Abilene,0.2,FGSM,,Normal,未擾動,320.8017333984375,522.9799110963104
log2025-06-18 08:02:05.917695.txt,Abilene,0.2,Normal,,AT,擾動,326.4501525878906,511.4329805515919
log2025-06-18 08:02:05.917695.txt,Abilene,0.2,Normal,,AT,未擾動,327.87037353515626,529.7642020686801
log2025-06-18 08:02:05.917695.txt,Abilene,0.2,Normal,,Normal,擾動,346.1010681152344,505.68651893501413
log2025-06-18 08:02:05.917695.txt,Abilene,0.2,Normal,,Normal,未擾動,305.4645233154297,501.53079005096953
log2025-06-18 08:09:53.579844.txt,Abilene,0.2,Normal,,Mixup,擾動,328.6454376220703,505.31358480661305
log2025-06-18 08:09:53.579844.txt,Abilene,0.2,Normal,,Mixup,未擾動,322.7155822753906,522.4880225716136
log2025-06-18 08:09:53.579844.txt,Abilene,0.2,Normal,,Normal,擾動,344.9882568359375,498.08257640100527
log2025-06-18 08:09:53.579844.txt,Abilene,0.2,Normal,,Normal,未擾動,296.93519592285156,489.9906533628345
