y_true,y_pred
221.24113,185.21324
226.49129,216.24028
210.12883,203.56773
184.82791,175.78604
98.33858,107.995476
63.091595,71.988014
55.099182,48.207115
107.09472,31.318295
13.010744,48.17747
7.921282,7.081773
5.562633,6.368472
2.839975,5.7914834
5.784493,4.609972
4.539411,4.419226
4.122996,4.7580204
3.724765,4.999815
5.778356,6.2268167
15.600524,11.74305
35.98498,38.27836
102.96361,59.5968
151.21783,159.7266
175.8846,168.32635
169.88307,174.56009
142.92021,171.69933
180.78163,147.75758
198.68158,177.7661
177.82762,167.92749
146.88507,144.39244
63.432747,86.598236
47.48245,42.48845
28.385574,28.805515
33.68771,19.376966
17.206142,10.590873
12.08317,5.3223577
12.366958,4.9560947
13.239306,4.9288735
4.740321,4.0503607
3.059459,2.5104973
3.350037,2.8138933
3.348468,5.8005056
2.894883,6.3453074
8.436723,8.647125
7.471279,14.784976
9.580215,12.759269
16.446095,14.115095
13.704961,28.544014
11.922065,19.553974
11.238963,15.8913555
15.004083,15.930841
11.4959,23.276674
10.050592,10.532198
7.49982,7.6433415
10.290734,5.9723773
13.028013,9.399645
13.315962,17.383255
5.994844,15.418121
7.798623,5.7400966
3.191397,6.0880427
3.225355,5.153652
3.671777,5.518728
12.735343,8.695338
11.412316,29.695257
10.74173,17.580524
8.298536,10.175682
9.198862,8.399216
15.154164,7.8972764
12.674455,28.601292
20.031462,13.2199545
25.078976,32.954697
32.532757,33.79454
22.570335,40.730156
27.21615,8.699248
21.497572,23.282318
29.330889,10.762324
20.339466,23.512794
18.342196,8.492718
12.03273,6.2069473
13.447794,3.9860017
6.449114,4.254927
4.82505,4.7364964
3.186586,5.048635
5.404934,6.5295634
4.670192,6.4633923
2.605529,8.078313
3.654539,6.0363536
1.636531,6.694773
1.76926,5.2692657
0.714696,7.1759377
0.916535,7.1603947
4.606194,7.943299
5.807284,11.238629
23.251587,11.907463
17.91645,65.010506
21.713762,29.548664
16.25557,24.986683
11.503904,11.097269
16.167912,11.510966
12.910089,15.723805
11.889833,7.9519873
11.205659,7.378363
7.5969,9.237863
16.40097,6.1241508
14.079923,26.564571
22.579653,19.10067
20.549091,41.41339
12.445559,22.180437
9.81845,5.8270288
7.008069,4.9990506
6.241188,4.1669445
1.343348,5.3321905
1.824557,5.242941
2.7019,6.77185
1.060987,9.059303
0.982282,6.7424774
0.7118,8.154096
4.204449,8.201081
7.211273,13.501566
6.895871,21.370857
4.228671,10.391365
3.456844,6.8567576
4.122576,5.8653607
4.631527,7.552051
4.796996,10.289865
3.162152,10.88656
2.85144,8.509332
1.91544,7.853926
3.814097,7.637645
4.95852,10.276978
5.322897,12.514993
5.30226,10.922849
4.997259,9.476411
3.29278,8.32336
2.987054,7.0744405
1.460822,7.037983
1.566121,7.034343
1.526226,7.709395
1.681781,8.551435
9.475216,8.437413
55.283585,33.082
163.56616,141.23064
196.97754,217.35641
219.18726,211.23608
188.51468,209.20782
173.46086,193.72977
205.60094,189.38211
202.43489,199.89903
219.94327,183.21075
200.3104,163.64555
130.8842,116.14503
115.21863,90.36672
107.57605,77.48902
93.3799,61.516174
65.32629,30.162626
56.700787,10.308655
40.546333,6.21633
3.453611,5.7862167
5.998936,4.2085023
2.392411,4.360189
2.666666,4.7966228
2.386495,5.0519285
1.966235,6.0453825
11.995869,9.19529
67.63628,37.867355
160.18723,141.4333
208.95546,193.29593
225.95413,201.34409
213.77806,197.32767
220.45467,202.5808
227.85486,213.85379
236.82198,212.17651
237.46724,203.7221
220.70613,171.94064
167.35382,131.77377
146.533,112.65962
142.48557,98.38802
85.56282,83.18955
40.386215,39.34762
17.5462,12.493524
7.558416,7.9102383
6.785137,7.645994
5.3666,5.7149463
5.267684,5.740525
4.232163,6.196328
2.710056,6.17905
5.853996,5.7336845
16.738062,11.963014
80.015144,64.91601
186.78268,167.18446
235.56638,220.01315
233.47101,228.78963
222.49294,214.30843
232.233,218.55156
239.57823,236.23088
237.13527,229.27205
239.84508,214.18306
216.99559,187.59818
148.74028,133.612
111.46867,110.301956
82.95691,84.72747
69.45442,52.52333
33.905422,22.69822
9.39575,8.966899
9.888463,7.080746
6.228018,6.619514
5.008592,5.7660394
3.980971,6.184919
3.752441,6.1609173
4.598343,4.9208436
3.039955,7.5469527
15.639031,15.46005
67.37592,66.975815
165.3733,152.61032
208.16933,208.02206
228.04756,211.92398
221.37262,208.90308
