file,dataset_name,epsilon,attack_method,,method,state,mae,rmse
log2025-06-18 02:15:59.224233.txt,CERNET,0.06,FGSM,,AT,擾動,1787.340332,2312.7779032719027
log2025-06-18 02:15:59.224233.txt,CERNET,0.06,FGSM,,AT,未擾動,1349.8278564453126,1835.0240005172661
log2025-06-18 02:15:59.224233.txt,CERNET,0.06,FGSM,,Normal,擾動,1960.70498,2484.040386607929
log2025-06-18 02:15:59.224233.txt,CERNET,0.06,FGSM,,Normal,未擾動,1329.833789,1805.021517368586
log2025-06-18 02:22:56.708845.txt,CERNET,0.06,FGSM,,Mixup,擾動,1754.5208374023437,2349.9666522138764
log2025-06-18 02:22:56.708845.txt,CERNET,0.06,FGSM,,Mixup,未擾動,1359.809766,1912.4348671760526
log2025-06-18 02:22:56.708845.txt,CERNET,0.06,FGSM,,Normal,擾動,1888.5259521484375,2379.2046615761687
log2025-06-18 02:22:56.708845.txt,CERNET,0.06,FGSM,,Normal,未擾動,1280.0524047851563,1729.497753878403
log2025-06-18 02:29:33.630126.txt,CERNET,0.06,Normal,,AT,擾動,1569.2036743164062,2179.977529467174
log2025-06-18 02:29:33.630126.txt,CERNET,0.06,Normal,,AT,未擾動,1376.1486938476562,1878.2410285760388
log2025-06-18 02:29:33.630126.txt,CERNET,0.06,Normal,,Normal,擾動,1832.7476196289062,2381.8926929476083
log2025-06-18 02:29:33.630126.txt,CERNET,0.06,Normal,,Normal,未擾動,1421.131738,1884.2219146258499
log2025-06-18 02:35:51.159044.txt,CERNET,0.06,Normal,,Mixup,擾動,1516.2101440429688,2218.3533799526017
log2025-06-18 02:35:51.159044.txt,CERNET,0.06,Normal,,Mixup,未擾動,1339.0511474609375,1904.1742896718363
log2025-06-18 02:35:51.159044.txt,CERNET,0.06,Normal,,Normal,擾動,1768.4110717773438,2289.798174678597
log2025-06-18 02:35:51.159044.txt,CERNET,0.06,Normal,,Normal,未擾動,1274.6626220703124,1732.4068828406403
log2025-06-18 02:41:40.680370.txt,CERNET,0.09,FGSM,,AT,擾動,2029.0710693359374,2692.9012309350305
log2025-06-18 02:41:40.680370.txt,CERNET,0.09,FGSM,,AT,未擾動,1481.8999267578124,2065.483235378723
log2025-06-18 02:41:40.680370.txt,CERNET,0.09,FGSM,,Normal,擾動,2283.991797,2874.1340727538272
log2025-06-18 02:41:40.680370.txt,CERNET,0.09,FGSM,,Normal,未擾動,1316.9519775390625,1761.8754904834684
log2025-06-18 02:47:41.328076.txt,CERNET,0.09,FGSM,,Mixup,擾動,2054.283154296875,2701.3364793538112
log2025-06-18 02:47:41.328076.txt,CERNET,0.09,FGSM,,Mixup,未擾動,1388.3043823242188,1980.7806316088668
log2025-06-18 02:47:41.328076.txt,CERNET,0.09,FGSM,,Normal,擾動,2327.1367919921877,2922.588608904317
log2025-06-18 02:47:41.328076.txt,CERNET,0.09,FGSM,,Normal,未擾動,1290.0256713867188,1743.0102952401405
log2025-06-18 02:53:12.143888.txt,CERNET,0.09,Normal,,AT,擾動,1694.3646240234375,2378.2545040499726
log2025-06-18 02:53:12.143888.txt,CERNET,0.09,Normal,,AT,未擾動,1408.9125732421876,1939.3803183850216
log2025-06-18 02:53:12.143888.txt,CERNET,0.09,Normal,,Normal,擾動,2363.948779296875,2879.0162571679143
log2025-06-18 02:53:12.143888.txt,CERNET,0.09,Normal,,Normal,未擾動,1237.5797607421875,1701.4360777143916
log2025-06-18 02:59:40.655051.txt,CERNET,0.09,Normal,,Mixup,擾動,1850.3436157226563,2574.423721854523
log2025-06-18 02:59:40.655051.txt,CERNET,0.09,Normal,,Mixup,未擾動,1384.553076171875,1959.0644383741626
log2025-06-18 02:59:40.655051.txt,CERNET,0.09,Normal,,Normal,擾動,2298.892431640625,2832.7481488868807
log2025-06-18 02:59:40.655051.txt,CERNET,0.09,Normal,,Normal,未擾動,1287.1336547851563,1744.176624309165
log2025-06-18 03:05:33.615825.txt,CERNET,0.15,FGSM,,AT,擾動,2423.1328369140624,3297.237810980375
log2025-06-18 03:05:33.615825.txt,CERNET,0.15,FGSM,,AT,未擾動,1728.9588012695312,2476.939818571053
log2025-06-18 03:05:33.615825.txt,CERNET,0.15,FGSM,,Normal,擾動,3021.4119384765627,3869.728032027569
log2025-06-18 03:05:33.615825.txt,CERNET,0.15,FGSM,,Normal,未擾動,1276.0526245117187,1737.887060735825
