y_true,y_pred
221.24113,182.1027
226.49129,215.11389
210.12883,205.36337
184.82791,185.6244
98.33858,115.56689
63.091595,74.0422
55.099182,53.403183
107.09472,36.683857
13.010744,50.68896
7.921282,5.9388013
5.562633,3.537443
2.839975,2.985538
5.784493,5.1497703
4.539411,1.7216079
4.122996,1.8059843
3.724765,2.0466573
5.778356,3.4156005
15.600524,9.435918
35.98498,43.70889
102.96361,76.416794
151.21783,167.31865
175.8846,180.17567
169.88307,180.09642
142.92021,169.37865
180.78163,152.01852
198.68158,178.35133
177.82762,177.06804
146.88507,148.31862
63.432747,103.53256
47.48245,48.540363
28.385574,39.919483
33.68771,15.76469
17.206142,7.3880124
12.08317,4.064695
12.366958,2.8492324
13.239306,1.2563727
4.740321,1.7708974
3.059459,1.0372441
3.350037,1.4227519
3.348468,2.064966
2.894883,3.8072522
8.436723,5.9285884
7.471279,13.008797
9.580215,9.673214
16.446095,9.52769
13.704961,27.053991
11.922065,19.699514
11.238963,12.3244
15.004083,11.595594
11.4959,15.423249
10.050592,7.01818
7.49982,6.401357
10.290734,5.8135924
13.028013,7.1254563
13.315962,8.88645
5.994844,8.204953
7.798623,5.642656
3.191397,5.625773
3.225355,5.52037
3.671777,5.8073
12.735343,6.125972
11.412316,13.0339775
10.74173,7.45379
8.298536,5.8641396
9.198862,5.9187613
15.154164,6.0720077
12.674455,11.80205
20.031462,6.6846147
25.078976,15.372412
32.532757,21.764236
22.570335,31.104107
27.21615,6.865782
21.497572,12.221136
29.330889,6.593055
20.339466,14.716028
18.342196,6.070434
12.03273,5.7040143
13.447794,4.130074
6.449114,4.52519
4.82505,4.6158977
3.186586,4.4598765
5.404934,4.793061
4.670192,4.8326387
2.605529,5.6369457
3.654539,4.816931
1.636531,5.2084613
1.76926,4.0507874
0.714696,5.3928094
0.916535,4.9970694
4.606194,5.7845283
5.807284,6.2006903
23.251587,7.1071334
17.91645,57.696327
21.713762,13.451626
16.25557,14.121378
11.503904,7.168222
16.167912,7.7829423
12.910089,8.245629
11.889833,6.8070626
11.205659,6.5173955
7.5969,6.7211213
16.40097,5.6656923
14.079923,16.244808
22.579653,8.1185875
20.549091,25.202019
12.445559,9.6246805
9.81845,5.6782575
7.008069,5.359734
6.241188,4.4903035
1.343348,5.189299
1.824557,3.9757688
2.7019,5.180426
1.060987,5.989213
0.982282,5.3384166
0.7118,5.858331
4.204449,6.087864
7.211273,7.239107
6.895871,8.5919285
4.228671,6.435134
3.456844,5.9147635
4.122576,5.326943
4.631527,6.088698
4.796996,6.4731374
3.162152,6.694618
2.85144,6.4595704
1.91544,6.4689
3.814097,6.8320694
4.95852,7.368656
5.322897,7.6125326
5.30226,6.980879
4.997259,6.815894
3.29278,6.8104777
2.987054,6.4113693
1.460822,6.243816
1.566121,6.2383957
1.526226,6.392083
1.681781,6.579227
9.475216,6.6627584
55.283585,15.15876
163.56616,147.62001
196.97754,232.69173
219.18726,221.78241
188.51468,213.60536
173.46086,194.30333
205.60094,186.545
202.43489,203.40236
219.94327,188.19466
200.3104,178.6891
130.8842,124.71992
115.21863,92.90279
107.57605,81.576385
93.3799,66.57788
65.32629,29.3424
56.700787,8.316882
40.546333,6.0145288
3.453611,5.453341
5.998936,5.511189
2.392411,3.2571478
2.666666,3.833349
2.386495,2.501336
1.966235,4.524026
11.995869,6.4516654
67.63628,37.725376
160.18723,153.57297
208.95546,210.04602
225.95413,212.74054
213.77806,198.33781
220.45467,204.5604
227.85486,216.69681
236.82198,214.32805
237.46724,207.35208
220.70613,187.86351
167.35382,139.89662
146.533,116.26033
142.48557,101.409225
85.56282,86.05262
40.386215,31.232025
17.5462,8.727014
7.558416,5.6672635
6.785137,5.986928
5.3666,5.0550885
5.267684,3.8725345
4.232163,2.8984606
2.710056,2.8590655
5.853996,4.604875
16.738062,10.0836315
80.015144,69.369125
186.78268,183.33769
235.56638,238.06609
233.47101,238.28877
222.49294,214.39389
232.233,224.47496
239.57823,238.06468
237.13527,235.21742
239.84508,221.75446
216.99559,204.57072
148.74028,143.50183
111.46867,113.01845
82.95691,84.85361
69.45442,52.75897
33.905422,17.76107
9.39575,6.2679973
9.888463,4.0641465
6.228018,4.7122197
5.008592,5.4479647
3.980971,3.7570994
3.752441,2.9873166
4.598343,3.3570936
3.039955,7.495915
15.639031,14.957687
67.37592,66.62167
165.3733,164.70372
208.16933,219.4225
228.04756,220.20328
221.37262,212.09753
240.86562,222.95992
242.58376,239.51622
245.17104,235.54704
245.2874,225.66077
224.82741,202.54854
132.0745,142.28107
110.2492,100.66516
102.82318,83.506905
77.9182,67.69757
29.40124,23.20848
9.15161,6.678202
8.336306,4.01672
8.209329,4.619805
8.737482,5.0451484
7.317404,2.9751983
5.243218,2.695591
3.793148,2.6149008
5.216159,5.5947566
15.04646,12.450652
79.37645,62.408337
132.29019,178.7884
206.16484,187.93205
233.37202,217.32184
215.2922,219.63759
212.78273,217.76534
219.82321,220.59767
228.9085,216.64081
225.51129,210.10577
213.20267,179.66364
133.21805,138.82246
122.70624,96.319565
77.10704,86.021484
57.904064,43.90213
19.700827,19.527536
8.457319,4.8559103
11.844856,4.030348
8.55559,4.397324
5.911936,3.9158337
6.34293,2.473955
4.356502,2.6008906
1.265689,2.7288663
1.294297,4.6129365
3.694689,11.804192
17.742937,25.103462
26.32395,48.143295
62.731445,43.942905
31.987516,108.02363
28.42731,24.696672
28.215206,35.6142
31.71696,31.132788
23.425875,46.328705
19.170067,16.261353
25.362442,6.668368
3.909888,11.57439
1.802428,5.6516943
3.31456,4.608896
2.925469,5.8025365
4.476454,5.054605
4.043867,5.8949094
2.780489,6.0323386
3.060916,4.9203687
2.189655,4.1949496
4.201117,3.526518
3.487093,5.5122232
0.811057,5.0523114
1.862788,4.7107368
1.88355,5.4258738
1.866046,6.1487966
3.031966,6.285171
5.418908,6.1152587
7.866282,8.521746
6.950268,9.221652
3.401711,7.3846965
3.53159,6.459516
2.672559,6.6682105
2.421584,6.6658783
4.131798,6.6162496
11.619803,7.129519
4.883384,16.00534
6.687887,6.401956
6.490547,6.4104333
6.610935,7.2027955
4.671397,7.1762176
3.206992,6.325559
2.649116,6.400357
3.051905,6.527101
1.803035,6.160152
3.121902,6.2947884
1.285918,6.6096377
1.307635,6.3010864
10.612299,6.0922985
66.350685,20.232044
