y_true,y_pred
221.24113,185.88055
226.49129,212.37637
210.12883,209.89955
184.82791,190.94328
98.33858,121.69586
63.091595,76.99341
55.099182,48.413506
107.09472,32.23481
13.010744,43.38974
7.921282,8.998753
5.562633,8.706183
2.839975,7.296753
5.784493,7.932557
4.539411,6.6498613
4.122996,6.2233524
3.724765,5.736748
5.778356,5.5298405
15.600524,13.53143
35.98498,42.616787
102.96361,72.61073
151.21783,159.36081
175.8846,168.02837
169.88307,175.30064
142.92021,173.9217
180.78163,156.2587
198.68158,178.83882
177.82762,176.50768
146.88507,157.46886
63.432747,98.15745
47.48245,45.512413
28.385574,27.4542
33.68771,13.186769
17.206142,8.422329
12.08317,7.5483127
12.366958,7.5685773
13.239306,6.380082
4.740321,6.146803
3.059459,5.823824
3.350037,5.6534567
3.348468,6.914304
2.894883,6.250086
8.436723,6.5395513
7.471279,10.380133
9.580215,9.804975
16.446095,8.724629
13.704961,15.848293
11.922065,14.7784815
11.238963,11.227306
15.004083,10.146227
11.4959,13.102623
10.050592,8.330408
7.49982,7.623461
10.290734,7.2550282
13.028013,7.8075886
13.315962,8.706582
5.994844,8.507357
7.798623,7.432278
3.191397,7.5807486
3.225355,7.29911
3.671777,7.367255
12.735343,7.5841975
11.412316,10.629159
10.74173,8.364014
8.298536,7.688612
9.198862,7.720444
15.154164,7.791777
12.674455,13.374485
20.031462,8.599517
25.078976,15.2592125
32.532757,17.74299
22.570335,32.652542
27.21615,8.076201
21.497572,14.535061
29.330889,8.477842
20.339466,17.496588
18.342196,7.4093018
12.03273,6.9081745
13.447794,6.2739663
6.449114,6.4544616
4.82505,6.291354
3.186586,6.2356606
5.404934,6.7021823
4.670192,6.555298
2.605529,6.858665
3.654539,6.435024
1.636531,6.534379
1.76926,6.391939
0.714696,7.102647
0.916535,7.054735
4.606194,7.615411
5.807284,7.668483
23.251587,8.202315
17.91645,41.756706
21.713762,15.617148
16.25557,14.694411
11.503904,9.093329
16.167912,8.642979
12.910089,10.2567835
11.889833,8.087328
11.205659,7.880286
7.5969,7.6580415
16.40097,7.3811893
14.079923,9.227804
22.579653,8.505302
20.549091,22.915161
12.445559,10.699378
9.81845,7.3054013
7.008069,7.058309
6.241188,6.3799996
1.343348,6.911238
1.824557,6.3335333
2.7019,7.029428
1.060987,7.353294
0.982282,7.073377
0.7118,7.4119205
4.204449,7.472678
7.211273,8.170118
6.895871,9.163215
4.228671,8.049792
3.456844,7.718191
4.122576,7.4007983
4.631527,7.797264
4.796996,8.237794
3.162152,8.446902
2.85144,8.329103
1.91544,8.213204
3.814097,8.327364
4.95852,8.55572
5.322897,8.715623
5.30226,8.721721
4.997259,8.559332
3.29278,8.463225
2.987054,8.245485
1.460822,8.122817
1.566121,8.158554
1.526226,8.28165
1.681781,8.382059
9.475216,8.397176
55.283585,11.508476
163.56616,136.36896
196.97754,223.97525
219.18726,219.14198
188.51468,212.53893
173.46086,202.17143
205.60094,200.19322
202.43489,208.13902
219.94327,193.97209
200.3104,189.24216
130.8842,127.67435
115.21863,100.45411
107.57605,82.31902
93.3799,65.97193
65.32629,34.017746
56.700787,16.791143
40.546333,10.151802
3.453611,7.59848
5.998936,8.369718
2.392411,6.714179
2.666666,5.553455
2.386495,5.388135
1.966235,6.727237
11.995869,7.576764
67.63628,30.438915
160.18723,145.30244
208.95546,205.04259
225.95413,203.68192
213.77806,192.89299
220.45467,203.46767
227.85486,219.72592
236.82198,219.10762
237.46724,209.84956
220.70613,192.48146
167.35382,146.79974
146.533,126.01326
142.48557,104.26978
85.56282,85.8477
40.386215,39.36641
17.5462,14.771039
7.558416,9.637169
6.785137,8.987585
5.3666,8.836141
5.267684,7.748431
4.232163,6.3134418
2.710056,6.510668
5.853996,7.686339
16.738062,12.390266
80.015144,66.70168
186.78268,177.73317
235.56638,225.38194
233.47101,227.41011
222.49294,208.24158
232.233,226.45686
239.57823,242.40578
237.13527,237.23654
239.84508,224.10933
216.99559,207.34428
148.74028,146.70963
111.46867,122.11018
82.95691,87.055855
69.45442,53.559113
33.905422,25.875849
9.39575,11.303512
9.888463,9.247507
6.228018,8.704056
5.008592,8.87897
3.980971,7.7591453
3.752441,6.586333
4.598343,7.249383
3.039955,9.253573
15.639031,17.10894
67.37592,67.112915
165.3733,160.94768
208.16933,212.2253
228.04756,211.78981
221.37262,208.85274
240.86562,225.76236
242.58376,244.33827
245.17104,236.9119
245.2874,229.6807
224.82741,208.4616
132.0745,149.9781
110.2492,109.38211
102.82318,85.419876
77.9182,66.35013
29.40124,30.295483
9.15161,11.753609
8.336306,9.446923
8.209329,8.642735
8.737482,8.986609
7.317404,7.6808987
5.243218,6.494472
3.793148,6.416304
5.216159,8.905893
15.04646,16.05652
79.37645,65.071815
132.29019,174.56448
206.16484,187.02896
233.37202,201.17284
215.2922,215.03409
212.78273,222.07242
219.82321,224.58562
228.9085,218.16621
225.51129,212.9984
213.20267,184.16884
133.21805,144.99916
122.70624,104.175095
77.10704,89.86635
57.904064,48.688766
19.700827,21.923843
8.457319,9.733631
11.844856,8.63523
8.55559,8.278617
5.911936,7.99383
6.34293,7.020711
4.356502,6.286681
1.265689,6.886444
1.294297,7.8525624
3.694689,13.540378
17.742937,31.746899
26.32395,43.482887
62.731445,43.917778
31.987516,112.516846
28.42731,19.828445
28.215206,24.32303
31.71696,26.848642
23.425875,45.60591
19.170067,13.905774
25.362442,8.254692
3.909888,7.9826903
1.802428,6.563054
3.31456,5.9989977
2.925469,6.5527864
4.476454,6.790832
4.043867,7.222951
2.780489,6.922244
3.060916,6.2162485
2.189655,6.1689467
4.201117,6.6132436
3.487093,6.9387827
0.811057,7.205957
1.862788,7.435943
1.88355,7.2830153
1.866046,7.703275
3.031966,7.8796487
5.418908,7.7804203
7.866282,9.158593
6.950268,9.52893
3.401711,8.785117
3.53159,8.2142725
2.672559,8.2654085
2.421584,8.369743
4.131798,8.372631
11.619803,8.570465
4.883384,13.0418625
6.687887,8.2679205
6.490547,8.316375
6.610935,8.732915
4.671397,8.649828
3.206992,8.368441
2.649116,8.217792
3.051905,8.190279
1.803035,8.00798
3.121902,8.026777
1.285918,8.124274
1.307635,8.234802
10.612299,8.310322
66.350685,14.502369
144.19257,154.2254
225.12616,206.57185
235.1283,230.57913
223.69745,222.0934
236.04268,229.99133
244.14618,243.17958
233.40723,241.10498
242.82707,227.95673
208.0309,210.49315
167.1164,143.00157
124.603165,128.51468
123.04095,96.501114
111.10753,78.292694
47.81795,52.6576
8.369441,16.479994
5.271597,9.522782
5.028646,9.020915
5.558827,8.462803
4.387871,8.245215
5.572654,6.585922
3.496111,6.9297714
4.670965,7.232252
13.246463,12.558872
75.651955,60.51529
173.85541,178.21645
225.339,222.69514
236.56532,221.45847
239.87544,213.47722
244.64941,238.62575
244.15639,247.84135
245.0069,242.07219
245.05943,233.23189
235.80595,212.84727
162.38028,160.45528
146.19304,130.34494
112.736725,111.59887
103.690796,75.556625
30.98677,48.658367
10.51587,12.956182
6.492532,10.133524
4.021633,9.16517
4.244646,9.330283
5.700566,8.014533
3.87598,6.9076366
3.506739,7.332611
3.433563,8.2652
20.323612,16.167912
76.735405,85.894165
156.3007,178.37898
222.71219,211.75117
237.34943,222.64217
231.14717,215.26874
225.42438,235.4505
237.01567,237.5172
241.50255,238.57214
218.50334,226.94447
213.12515,191.35863
131.06644,146.34245
105.51773,107.07387
105.73828,81.35872
80.69317,63.2966
53.024494,32.59539
5.233571,13.657496
4.768478,8.831333
6.282221,8.26047
7.160781,8.268399
4.619797,7.7105894
5.004379,6.6051836
5.079667,7.079503
3.989988,8.531211
18.006802,11.491706
88.60692,69.45808
173.90866,184.79457
219.33707,212.01822
199.64583,210.3142
194.38255,188.46877
235.27501,207.19339
243.93594,230.03879
239.78218,225.57669
233.60144,222.8904
210.21413,190.19658
142.42384,138.17513
104.38176,112.31005
101.54871,79.90797
88.033394,57.96559
37.1274,34.25951
7.852753,12.026986
4.658696,9.254263
6.212383,8.637161
4.520847,8.303702
5.78732,7.262817
4.483139,6.074142
1.237129,6.2952466
3.820249,7.1455007
13.224332,15.489265
75.54729,60.681446
156.28172,170.07048
196.42546,202.03453
217.10782,195.64606
184.63838,201.13228
202.42557,201.3988
213.80904,213.97572
228.57072,207.518
226.70403,210.95555
193.23695,185.17548
161.43187,126.59471
123.987495,118.12394
97.31117,87.494446
89.091484,58.299553
23.028336,36.13048
3.82511,10.473065
8.23057,8.894468
3.156636,8.338958
2.619735,8.026501
1.996291,6.7802234
2.40982,6.0637927
2.318643,6.1000924
1.134787,6.730317
3.422157,13.306513
5.868712,35.693867
11.248172,22.486507
11.95376,21.26617
21.384783,13.261182
20.817852,20.093887
16.125395,21.984135
28.463171,15.7297125
24.670801,34.436775
12.051273,24.487722
7.56325,8.793199
3.312738,7.434029
2.383163,7.7099204
3.599543,7.217836
5.543326,7.329322
4.700181,7.7443924
1.402448,7.5272894
1.998794,7.168515
1.793982,7.4629846
0.864218,7.298703
2.007191,7.546418
2.502104,7.22813
1.908404,7.4394073
1.577721,7.816227
1.225316,7.2849226
3.971508,7.7329397
10.771542,8.589519
4.713237,14.587329
4.977473,8.6548815
5.260062,8.436446
6.731588,8.598399
2.759763,8.725062
4.386271,8.173586
3.739751,8.487446
3.750149,8.519467
2.184843,8.345587
1.742849,8.351036
3.194763,8.214587
5.060367,8.489094
3.808044,8.7823925
3.333609,8.519322
6.276487,8.354686
4.112802,8.780323
3.96446,8.081641
1.207034,8.320689
1.82262,8.161832
2.172196,8.347841
1.074376,8.38119
10.192775,8.373617
67.97399,13.437471
146.1881,154.90527
182.04382,207.03165
228.34703,201.04839
219.3516,219.15823
220.30782,223.81767
240.19637,232.08609
241.36258,235.6147
238.11911,228.17769
215.19447,201.61006
155.18082,147.74199
134.97171,120.654564
109.67802,100.67157
78.39078,71.912796
54.705406,33.616646
8.20567,17.208977
5.110817,9.395586
1.814756,8.651206
2.083933,8.482483
3.527815,6.8129683
1.330114,6.361404
1.339219,6.464919
2.004528,8.013475
15.024348,10.6815605
96.52864,66.42157
167.16423,193.95558
202.99443,212.28587
219.40073,198.74153
238.6111,201.21489
244.89523,238.61412
245.10397,249.44911
245.22035,238.46478
245.14262,230.92404
230.26874,197.24023
151.0677,157.01344
130.7903,121.30875
128.86555,98.388176
77.522705,75.98486
39.088825,34.84877
8.65915,13.634988
4.958564,9.687091
3.398768,9.361315
3.861413,8.978786
2.350858,7.3820553
2.304965,6.1393557
2.43822,7.1333675
2.901829,9.146398
15.822604,15.209063
95.2721,72.0444
198.05559,196.55101
245.18185,236.83888
244.9219,235.82857
235.4938,224.07884
245.1655,243.48558
245.11876,257.87094
245.1617,244.3863
245.21156,235.14093
244.85068,203.87137
194.90262,163.99895
129.98239,150.12523
133.78308,105.381546
109.8826,83.93483
44.020824,52.230045
7.26674,16.151207
7.166232,10.2008505
4.369133,9.942597
3.297577,9.799789
3.14044,8.879752
3.822729,7.512151
3.657801,7.7367125
2.013718,8.48224
16.65495,13.870141
86.15509,77.99439
181.60612,194.12653
238.98854,233.0641
244.24908,235.41667
242.61751,222.79683
245.18256,245.60826
245.17894,252.03844
244.90613,250.48419
243.92426,238.23549
214.99274,210.8897
173.58313,148.94096
159.08522,137.0592
123.5224,116.1574
92.66743,80.529434
42.668007,44.840843
6.616769,14.907432
5.99239,10.100492
4.534189,9.549318
3.918815,9.19228
2.937521,8.333512
2.681678,6.9926753
3.654396,7.6958575
4.228861,8.897939
15.610366,16.016191
75.73442,75.701965
175.73941,181.52083
232.03726,224.69524
235.00629,231.4248
233.34506,214.28906
226.48904,238.79704
243.51158,240.00237
243.02165,242.14459
244.65202,230.30438
203.95949,214.19531
142.56888,140.86671
143.38281,117.09018
123.23759,102.49007
99.7381,76.32773
29.275784,43.660995
3.310744,11.908053
2.412412,9.64891
2.547546,9.065313
2.961382,9.028927
2.000516,7.8445406
1.185307,6.576041
2.147166,7.18918
1.805014,8.070626
1.956529,16.44858
11.464711,45.180023
25.239882,52.129295
30.57013,51.04667
43.81356,33.099934
36.385887,47.451393
22.014692,28.912859
30.869614,20.9464
35.99632,28.31536
25.993048,44.61994
12.946503,11.90904
5.46867,7.437821
1.375333,6.8169317
1.75505,6.63661
2.903465,6.4535947
5.622541,6.895297
5.10563,7.1893387
2.324814,7.1410747
2.727857,6.505744
5.563117,6.241498
4.592518,6.784679
1.413459,6.296163
2.21245,6.6539445
1.492599,7.5125895
1.446076,7.413105
1.920671,7.0991325
6.062951,7.7466874
4.821423,9.146644
5.541161,8.734681
8.293601,8.7069235
4.195262,9.612463
4.990734,8.351578
2.47175,8.280874
2.307945,8.175924
3.033562,8.332059
3.314536,8.402256
1.955073,8.374798
2.605152,8.249172
2.513272,8.357871
3.547871,8.529435
2.752511,8.582967
3.235895,8.534642
1.975065,8.579471
1.2351,8.233052
0.992344,8.289716
0.92517,8.319451
1.271715,8.25167
1.146488,8.544905
12.801917,8.455608
73.58127,20.540665
156.33392,164.43263
