y_true,y_pred
221.24113,172.28978
226.49129,201.41614
210.12883,207.92915
184.82791,202.09047
98.33858,132.60594
63.091595,84.687645
55.099182,69.34862
107.09472,43.872894
13.010744,68.66919
7.921282,8.721521
5.562633,8.535714
2.839975,6.724588
5.784493,6.911556
4.539411,7.399649
4.122996,5.4416223
3.724765,5.5339313
5.778356,6.1688757
15.600524,41.647663
35.98498,42.972736
102.96361,44.61129
151.21783,173.14577
175.8846,156.74176
169.88307,163.38223
142.92021,180.21193
180.78163,149.98431
198.68158,169.41331
177.82762,179.31258
146.88507,163.45335
63.432747,108.58766
47.48245,50.2108
28.385574,49.78087
33.68771,21.394972
17.206142,13.552839
12.08317,7.8812943
12.366958,5.4910445
13.239306,4.964425
4.740321,6.7436976
3.059459,5.410024
3.350037,4.9360976
3.348468,7.244113
2.894883,6.24527
8.436723,17.280209
7.471279,43.85215
9.580215,17.251524
16.446095,10.836352
13.704961,9.132852
11.922065,10.435724
11.238963,11.716126
15.004083,11.299971
11.4959,11.689161
10.050592,9.409769
7.49982,7.636576
10.290734,6.118386
13.028013,7.4035206
13.315962,6.9076276
5.994844,17.570557
7.798623,6.590988
3.191397,6.1478744
3.225355,5.8675714
3.671777,5.9710493
12.735343,6.368485
11.412316,6.028281
10.74173,5.4162884
8.298536,5.43192
9.198862,5.873666
15.154164,6.510295
12.674455,6.3331194
20.031462,6.512008
25.078976,6.774098
32.532757,7.863925
22.570335,70.182816
27.21615,5.4905624
21.497572,7.05327
29.330889,5.7053356
20.339466,7.198702
18.342196,6.658105
12.03273,7.054974
13.447794,5.8366446
6.449114,5.983615
4.82505,5.3633366
3.186586,5.5238776
5.404934,5.2360597
4.670192,5.495045
2.605529,5.7043977
3.654539,4.94925
1.636531,5.7993174
1.76926,5.000172
0.714696,5.785102
0.916535,5.820259
4.606194,6.164743
5.807284,7.598988
23.251587,6.2118297
17.91645,92.155
21.713762,6.5289526
16.25557,12.449492
11.503904,6.7920237
16.167912,6.016944
12.910089,7.598793
11.889833,6.9432797
11.205659,6.6906195
7.5969,7.875334
16.40097,6.8189273
14.079923,6.8288064
22.579653,7.166859
20.549091,7.880232
12.445559,8.111368
9.81845,6.886786
7.008069,6.5212364
6.241188,5.7654643
1.343348,5.7976017
1.824557,5.4943886
2.7019,6.1449666
1.060987,8.836439
0.982282,4.7682385
0.7118,6.4246078
4.204449,6.594148
7.211273,6.8760533
6.895871,12.161865
4.228671,11.274629
3.456844,6.116529
4.122576,5.8222513
4.631527,6.2215815
4.796996,7.499604
3.162152,7.285002
2.85144,6.607263
1.91544,6.847321
3.814097,6.9892335
4.95852,7.570043
5.322897,13.8627205
5.30226,6.8178325
4.997259,6.596489
3.29278,6.6539917
2.987054,6.5146265
1.460822,6.434548
1.566121,6.323397
1.526226,6.5361414
1.681781,6.7295694
9.475216,6.750315
55.283585,7.0686264
163.56616,122.56759
196.97754,227.97044
219.18726,200.11476
188.51468,219.66063
173.46086,196.01419
205.60094,184.3193
202.43489,203.92218
219.94327,179.13193
200.3104,180.962
130.8842,138.27847
